cycle,state,Candidateidentifier,RaceID,VotePercentage,year,Republican,Democrat,experienced,weightexperience,pvi,GenericBallotSept,Incumbent,PercentageRaised
1992,California,1992CAHerschensohn,19920502,43.00286776,1992,1,0,0,1,2.089508493,56.39124357,0,43.60521614
1992,Illinois,1992ILWilliamson,19921302,43.05715208,1992,1,0,0,1,2.845729828,56.39124357,0,24.49192808
1992,Ohio,1992OHGlenn,19923502,50.88300143,1992,0,1,1,4,-1.573305433,56.39124357,1,46.46854859
1992,North Carolina,1992NCFaircloth,19923302,50.34704726,1992,1,0,0,1,-4.257897135,56.39124357,-1,54.06000272
1992,Missouri,1992MORothman-Serot,19922502,44.9257195,1992,0,1,0,1,1.90181394,56.39124357,-1,17.07421646
1992,Arkansas,1992ARBumpers,19920402,60.17719411,1992,0,1,1,4,-3.295385279,56.39124357,1,58.05829004
1992,South Carolina,1992SCHartnett,19924002,46.94655713,1992,1,0,0,1,-8.172851311,56.39124357,-1,30.865905
1992,Indiana,1992INHogsett,19921402,40.70441426,1992,0,1,0,1,-6.224373724,56.39124357,-1,33.06806963
1992,Arizona,1992AZMecham,19920302,10.51777395,1992,0,0,0,1,-6.847567198,56.39124357,-1,4.916802159
1992,Connecticut,1992CTDodd,19920702,58.81013574,1992,0,1,1,4,1.313478054,56.39124357,1,84.54927681
1992,North Dakota,1992NDSydness,19923402,38.87457765,1992,1,0,0,1,-2.697757213,56.39124357,0,59.20255775
1992,Washington,1992WAChandler,19924702,46.00811609,1992,1,0,0,1,4.705227051,56.39124357,0,55.39231123
1992,Pennsylvania,1992PASpecter,19923802,49.10295039,1992,1,0,1,4,2.732595359,56.39124357,1,54.81443884
1992,Florida,1992FLGrant,19920902,34.59098521,1992,1,0,0,1,-7.351546057,56.39124357,-1,8.927813745
1992,Maryland,1992MDKeyes,19922002,28.97745875,1992,1,0,0,1,2.43309313,56.39124357,-1,37.00083513
1992,Pennsylvania,1992PAYeakel,19923802,46.33019671,1992,0,1,0,1,2.732595359,56.39124357,-1,45.18556116
1992,Arizona,1992AZSargent,19920302,31.57054262,1992,0,1,0,1,-6.847567198,56.39124357,-1,9.162150725
1992,California,1992CASeymour,19920500,37.96344771,1992,1,0,0,1,2.089508493,56.39124357,0,44.29329367
1992,Colorado,1992COConsidine,19920602,42.70422582,1992,1,0,0,1,-0.057461639,56.39124357,0,61.92923669
1992,Kansas,1992KSO'Dell,19921602,31.02897873,1992,0,1,0,1,-2.827776264,56.39124357,-1,9.184098913
